latitude, longitude
46.0712860264046, 14.0136141961375
46.0712913607985, 14.0136424598822
46.0713421284831, 14.0136226797158
46.0714237478767, 14.0136080383981
46.0715613664791, 14.0136535005314
46.0715903784039, 14.0136630839918
46.0717325936287, 14.0136970131708
46.0719001883986, 14.0136393692405
46.0720785410506, 14.0134059163544
46.0722166500926, 14.013144089842
46.0724163462787, 14.0130540678094
46.0726766351861, 14.0130207301949
46.0728567975618, 14.0129884193902
46.0730948089668, 14.0126961219916
46.0732726573134, 14.0124048937279
46.0734912076763, 14.0121707061081
46.073746819952, 14.011590036994
46.0739246654243, 14.0112988041255
46.0741416426887, 14.0108917265957
46.0742789952674, 14.0105434426291
46.0743769669395, 14.0102823205121
46.0744754421853, 14.0100793612677
46.0747141918383, 14.0098730786397
46.0749125691118, 14.0096392367742
46.0750112867839, 14.0094645519
46.0750887954087, 14.0091464246653
46.0751062514682, 14.0088580537075
46.0751235973133, 14.0085410025828
46.0752009614664, 14.0082224719939
46.0752789672643, 14.0079621034461
46.0754367744991, 14.0076712110161
46.0755953317059, 14.0074667595885
46.0757539585977, 14.0072619025078
46.0758521749487, 14.0070298487302
46.0758486614727, 14.0066267115764
46.0758859601282, 14.0063092962745
46.0759631358767, 14.0059620736223
46.0760608472197, 14.0056722544692
46.0760794392479, 14.0054990025519
46.076017951807, 14.005356282437
46.0758759085328, 14.0051572402483
46.0758328296485, 14.0048121842653
46.0758295588925, 14.0044377253357
46.0758265410671, 14.0040923482241
46.0757220390999, 14.0036045747972
46.0756190427041, 14.0032892883477
46.0755556043791, 14.0029159178313
46.0755326229959, 14.0025709087805
46.0754884563451, 14.0021107321368
46.0754258438844, 14.0018238079624
46.0753428062575, 14.0015085686708
46.0752595847838, 14.0011642452392
46.0752370291005, 14.000876598252
46.0752743837159, 14.0005591815557
46.0754319181275, 14.0002395876769
46.0755699965422, 13.9999777144004
46.0757282897147, 13.9997445605533
46.0759472468556, 13.9995676760796
46.0762872855258, 13.9994750524247
46.076587881236, 13.9994696035191
46.0769081407901, 13.9994060235448
46.0769081407856, 13.9994060230322
46.0769081407856, 13.9994060230322
46.0769081407901, 13.9994060235448
46.0767655153534, 13.9991496367849
46.07654370375, 13.9990094262942
46.076362347675, 13.9988975697576
46.0761815006267, 13.9988434784874
46.0759003564596, 13.9987908036326
46.0755984937544, 13.9986520513147
46.0753579183717, 13.9986564156399
46.0750976378608, 13.9986902233349
46.0748781762266, 13.9988093444537
46.0746193389153, 13.9990156388826
46.07444044443, 13.9991917948399
46.0742816462173, 13.9993671797758
46.0741641773988, 13.9996864465952
46.0740068242094, 14.000034718297
46.0739495155091, 14.000352892632
46.0739324421935, 14.0006986191921
46.0739963253367, 14.0011297381254
46.0740803687962, 14.0015600893978
46.0742893895227, 14.0025356012562
46.0744577665283, 14.0034544846385
46.0745416629443, 14.0038848488152
46.0745652889292, 14.0042876158503
46.0745282460209, 14.0046341083449
46.0744297862432, 14.0048374804169
46.0742503057815, 14.0049558549484
46.0740106268347, 14.0050466299815
46.0738114398988, 14.0051944480893
46.0737127230492, 14.0053687335449
46.0736753584843, 14.0056865413885
46.0736379911627, 14.0060039456464
46.0736621093961, 14.0064644677106
46.0736243102704, 14.0067245136032
46.0735253416174, 14.0068701104468
46.0733459292837, 14.0069884806984
46.0731856166059, 14.0069913645941
46.0730452624316, 14.0069938894323
46.0728656702928, 14.0070835719903
46.0727879878261, 14.0073730148197
46.0726503921213, 14.0076922090332
46.0725323964408, 14.00795369056
46.0724129678673, 14.0080422880278
46.0722525831826, 14.0080451700712
46.0721114764967, 14.0079612549623
46.0720290272045, 14.0077033785779
46.0719260490131, 14.007388513824
46.0717634768661, 14.0071324810413
46.0715823150652, 14.0069098062974
46.0713135444477, 14.0066398305522
46.0712488745955, 14.0066021533288
46.0710850402406, 14.0065066999333
46.0710906176277, 14.006486938263
46.0710906176277, 14.006486938263
46.0710850402406, 14.0065066999333
46.0712488745955, 14.0066021533288
46.0713135444477, 14.0066398305522
46.0715823150652, 14.0069098062974
46.0717634768661, 14.0071324810413
46.0719260490131, 14.007388513824
46.0720290272045, 14.0077033785779
46.0721114764967, 14.0079612549623
46.0722525831826, 14.0080451700712
46.0724129678673, 14.0080422880278
46.0725323964408, 14.00795369056
46.0726503921213, 14.0076922090332
46.0727879878261, 14.0073730148197
46.0728656702928, 14.0070835719903
46.0730452624316, 14.0069938894323
46.0731856166059, 14.0069913645941
46.0733459292837, 14.0069884806984
46.0735253416174, 14.0068701104468
46.0736243102704, 14.0067245136032
46.0736621093961, 14.0064644677106
46.0736379911627, 14.0060039456464
46.0736753584843, 14.0056865413885
46.0737127230492, 14.0053687335449
46.0738114398988, 14.0051944480893
46.0740106268347, 14.0050466299815
46.0742503057815, 14.0049558549484
46.0744297862432, 14.0048374804169
46.0745282460209, 14.0046341083449
46.0745652889292, 14.0042876158503
46.0745416629443, 14.0038848488152
46.0744577665283, 14.0034544846385
46.0742893895227, 14.0025356012562
46.0740803687962, 14.0015600893978
46.0739963253367, 14.0011297381254
46.0739324421935, 14.0006986191921
46.0739495155091, 14.000352892632
46.0740068242094, 14.000034718297
46.0741641773988, 13.9996864465952
46.0742816462173, 13.9993671797758
46.07444044443, 13.9991917948399
46.0746193389153, 13.9990156388826
46.0748781762266, 13.9988093444537
46.0750976378608, 13.9986902233349
46.0753579183717, 13.9986564156399
46.0755984937544, 13.9986520513147
46.0759003564596, 13.9987908036326
46.0761815006267, 13.9988434784874
46.076362347675, 13.9988975697576
46.07654370375, 13.9990094262942
46.0767655153534, 13.9991496367849
46.0769081407901, 13.9994060235448
46.0769081407856, 13.9994060230322
